feature,genre,system,category,ai_var,human_var,var_ratio,levene_p,levene_p_adj
mfcc_4_std,dancepop,suno,Timbral (MFCC),8.92192613606063,8.77795331013166,1.0164016395214583,0.9277649623913988,0.9420382695051127
mfcc_5_std,dancepop,suno,Timbral (MFCC),7.544846558542817,8.273018417103788,0.9119823235186404,0.2451492129058488,0.3677238193587732
mfcc_6_std,dancepop,suno,Timbral (MFCC),7.1831749772421505,5.991297410377021,1.1989348024687907,0.6742249224718722,0.7806814891779572
mfcc_7_std,dancepop,suno,Timbral (MFCC),6.128861386768823,6.4362550467463056,0.9522402922592574,0.7515943070609795,0.8132003978036828
mfcc_8_std,dancepop,suno,Timbral (MFCC),4.114234891955863,3.9371180670776447,1.044986414392618,0.8204261408325285,0.8696157308745404
mfcc_9_std,dancepop,suno,Timbral (MFCC),4.630269915938299,3.291248931779109,1.4068428161814464,0.10703205319846049,0.19025417551655707
mfcc_10_std,dancepop,suno,Timbral (MFCC),3.3443368678466148,2.6705172641610386,1.2523180107196428,0.2951027234734079,0.41588539125289803
mfcc_11_std,dancepop,suno,Timbral (MFCC),3.993184704621654,2.3028383009477333,1.7340273969641111,0.003292162669515379,0.009447075486435435
mfcc_12_std,dancepop,suno,Timbral (MFCC),3.601542282692727,3.0836018975154365,1.1679660353026156,0.22002061635543968,0.33770606231300043
mfcc_delta_mean,dancepop,suno,Timbral (MFCC),0.00013305041868078168,0.00010807333993859802,1.2311123053694317,0.705357998837765,0.7920352853214363
mfcc_delta_std,dancepop,suno,Timbral (MFCC),0.9110808959554889,0.6270109708113937,1.4530541543419726,0.04374542985907214,0.09573365333816927
mfcc_delta2_mean,dancepop,suno,Timbral (MFCC),1.2604862835523509e-05,2.2982833106961064e-05,0.5484468680106168,0.0015979611868439886,0.005022163730081107
mfcc_delta2_std,dancepop,suno,Timbral (MFCC),1.100548489369214,0.2841645033791434,3.8729273934007833,1.5893821947089217e-05,8.069171142368371e-05
chroma_entropy,dancepop,suno,Key / Tonal,0.00203671303960692,0.00028115548532362694,7.244080752194966,7.128571614330892e-07,4.704857265458389e-06
key_clarity,dancepop,suno,Key / Tonal,0.09902076610037963,0.029255407623047038,3.3846995870388192,0.00020774725670423595,0.0008065481730870338
spectral_centroid_cv,dancepop,suno,Intra-track,0.02866652737265294,0.006545665858911365,4.379466961886836,6.932222231109949e-09,6.536095246475095e-08
onset_strength_cv,dancepop,suno,Intra-track,0.03563799430280501,0.02630821848502093,1.354633508274084,0.08883934159130413,0.16886165488598992
rms_cv,dancepop,suno,Intra-track,0.018714664219425508,0.008641688323959095,2.165625919131921,0.0006754689592185124,0.0022290475654210907
spectral_centroid_mean,dancepop,lyria,Spectral,130942.58621372173,125081.67685599385,1.0468566580257437,0.636907110003766,0.7374713905306763
spectral_centroid_std,dancepop,lyria,Spectral,61040.206409655126,29306.29377505233,2.082836092417016,0.0016234477242774148,0.005639344726437336
spectral_centroid_var,dancepop,lyria,Spectral,251834940384.09872,77840350479.06007,3.235275006268698,6.942802137153311e-05,0.0006045703280973297
spectral_bandwidth_mean,dancepop,lyria,Spectral,47713.72971569726,39624.511153583866,1.2041468355473142,0.06530507668200672,0.11972597391701233
spectral_bandwidth_std,dancepop,lyria,Spectral,55221.77983247627,10729.01926778896,5.146955043529937,3.750630666919688e-09,2.475416240166994e-07
spectral_rolloff_mean,dancepop,lyria,Spectral,572538.9822739355,570632.1648931466,1.0033415876252716,0.5397789143270293,0.6749689052658834
spectral_rolloff_std,dancepop,lyria,Spectral,285748.2252447345,120154.96855912828,2.3781640382529647,0.00015727499598538143,0.0010380149735035175
spectral_flatness_mean,dancepop,lyria,Spectral,0.0013567465924965696,0.00019651884081558547,6.903900851775068,0.0018552968343099163,0.006122479553222724
